usuario,location,latitud,longitud
JCuio,Ecuador,-1.25,-78.25
FranciscoYcazaS,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
GermanAnda,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Aness_77,"Mánchester, Inglaterra, Reino Unido",53.45,-2.23333
gabrielruizunda,"Guayas, Ecuador",-2,-79.83333
holacjcz,"Loja, Ecuador",-3.99313,-79.20422
javico1981,"Catacocha, Loja, Ecuador",-4.04974,-79.64944
andrestorresale,"Loja, Ecuador",-3.99313,-79.20422
maryeav20,"Palanda, Zamora Chinchipe, Ecuador",-4.55736,-79.09327
arbar3milo,"Loja, Ecuador",-3.99313,-79.20422
cf_abambari,Ecuador,-1.25,-78.25
Ricardo1185,"Loja, Ecuador",-3.99313,-79.20422
GuerronErasJudy,"Loja, Ecuador",-3.99313,-79.20422
ByronDEstrellaL,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
JeanReategui198,"Lima, Perú",-12.04318,-77.02824
ATTACreativa,"Loja, Ecuador",-3.99313,-79.20422
GaloAlberto6,"Loja, Ecuador",-3.99313,-79.20422
MonseBustamant,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
leopoldolunagar,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
EGalike,Ecuador,-1.25,-78.25
zapatos_online,"Loja, Ecuador",-3.99313,-79.20422
negrit427,Ecuador,-1.25,-78.25
